Catchphrase,Movie Name,Context
"Beetlejuice, Beetlejuice, Beetlejuice!", BEETLEJUICE," Lydia, summoning Beetlejuice"
It's showtime!, BEETLEJUICE," Beetlejuice, being summoned."
They're heeeere!, POLTERGEIST," Carol Anne Freeling, notifying her parents of the spirits present"
Hey you guys!, THE GOONIES," Sloth, calling the attention of the children he's about to save"
"Good morning, Vietnam!"," GOOD MORNING, VIETNAM", Adrian Cronauer's greeting on his radio show
"I love the smell of napalm in the morning. You know, one time we had a hill. bombed, for 12 hours. When it was all over, I walked up. We didn't find one. of 'em, not one stinkin' dink body. The smell, you know that gasoline smell,. the whole hill. Smelled like ... victory.", APOCALYPSE NOW," Lt. Col. Bill Kilgore, describing the feeling war brings"
Say 'hello' to my little friend!, SCARFACE," Tony Montana, shouting his battle cry before an ambush"
I'm your Huckleberry., TOMBSTONE," Doc Holiday, volunteering to participate in a stand-off"
"Hello, my name is Inigo Montoya. You killed my father. Prepare to die.", THE PRINCESS BRIDE," Inigo Montoya, to the 6-fingered man, before his final battle with him"
Heeeeere's Johnny!, THE SHINING," Jack Torrance, maniacally calling to his wife with the intent to kill"
Khaaaaan!, STAR TREK II: THE WRATH OF KAHN," Capt. Kirk, screaming out of frustration"
Bueller....Bueller...Bueller?, FERRIS BUELLER'S DAY OFF," Economics Teacher, taking class attendance"
They call me Mr. Tibbs!, IN THE HEAT OF THE NIGHT," Virgil Tibbs, saying what they call him at home"
Bond...James Bond., GOLDFINGER," James Bond, introducing himself"
"A martini...shaken, not stirred.", GOLDFINGER," James Bond, ordering his signature drink"
Shall...we...play...a...game?, WARGAMES," the computer system WOPR, asking its user to play a game with it"
Alrighty then!, ACE VENTURA: PET DETECTIVE," Ace Ventura, acknowledging a confirmation"
The numbers all go to 11!, THIS IS SPINAL TAP," Nigel Tufnel, showing off the power of his guitar amps"
To infinity...and beyond!, TOY STORY," Buzz Lightyear, professing his aspiration for further exploration"
"Well, la-de-da.", ANNIE HALL," Annie Hall, reacting to her boyfriend in a conversation"
"Yeah baby, yeah!", AUSTIN POWERS: INTERNATIONAL MAN OF MYSTERY," Austin Powers, conversing with his partner, Mrs. Kensington"
