quote,movie,type,year
"Do, or do not. There is no try.","Star Wars: Episode V - The Empire Strikes Back","movie","1890"
"Listen to them. Children of the night. What music they make.","Dracula","movie","1931"
"It's alive! It's alive!","Frankenstein","movie","1931"
"Oh, no, it wasn't the airplanes. It was Beauty killed the Beast.","King Kong","movie","1933"
"Magic Mirror on the wall, who is the fairest one of all?","Snow White and the Seven Dwarves","movie","1937"
"Elementary, my dear Watson.","The Adventures of Sherlock Holmes","movie","1939"
"I'll get you, my pretty, and your little dog, too!","The Wizard of Oz","movie","1939"
"After all, tomorrow is another day!","Gone With the Wind","movie","1939"
"Frankly, my dear, I don't give a damn.","Gone with the Wind","movie","1939"
"Toto, I've got a feeling we're not in Kansas anymore.","The Wizard of Oz","movie","1939"
"There's no place like home.","The Wizard of Oz","movie","1939"
"As God is my witness, I'll never be hungry again.","Gone with the Wind","movie","1939"
"It's gone forever, that funny young, lost look I loved won't ever come back. I killed that when I told you about Rebecca. It's gone. In a few hours, you've grown so much older.","Rebecca","movie","1940"
"Here's looking at you, kid.","Casablanca","movie","1942"
"Play it, Sam. Play 'As Time Goes By.","Casablanca","movie","1942"
"We'll always have Paris.","Casablanca","movie","1942"
"Round up the usual suspects.","Casablanca","movie","1942"
"This is the beginning of a beautiful friendship.","Casablanca","movie","1942"
"When it comes to women, you’re a true democrat.","Casablanca","movie","1942"
"I am big! It's the pictures that got small.","Sunset Blvd.","movie","1950"
"Nobody ever lies about being lonely.","Here to Eternity","movie","1953"
"You don't understand! I coulda had class. I coulda been a contender. I could've been somebody, instead of a bum, which is what I am.","On The Waterfront","movie","1954"
"Where we're going, we don't need roads","Back to the future","movie","1958"
"Life is a banquet, and most poor suckers are starving to death!","Auntie Mame","movie","1958"
"Well nobody is perfect","Some Like It Hot","movie","1959"
"My name is Bond, James Bond.","Dr. No","movie","1962"
"Bond. James Bond","Dr. No","movie","1962"
"I don't understand. He meets a girl that can give him a new life and he pushes her away? Because he doesn't know how to love.","8 1⁄2 ","movie","1963"
